CódigoDeMINAE;Cod_RECOPE;Provincia;NOM_CANT;Distrito;Latitud;Longitud;Zona;Plantel;CEC;Total_2017;Tanques;Islas;Mangueras;EstadodelaestaciónMinae;LAT_NEW;LONG_NEW
ES 1-01-02-01;300538;San José;San José;Merced;9.5660900000;-84.0499100000;0;1;1;4034565.0000000000;3;3;20;Activa;9.5660900000;-84.0499100000
ES 1-01-02-03;300371;San José;San José;Merced;9.5638800000;-84.0491700000;0;1;1;2823385.0000000000;3;2;12;Activa;9.5638800000;-84.0491700000
ES 1-01-03-01;300583;San José;San José;Hospital;9.5608700000;-84.0540300000;0;2;0;3940462.0000000000;3;2;12;Activa;9.5608700000;-84.0540300000
ES 1-01-03-02;300381;San José;San José;Hospital;9.5563400000;-84.0531500000;0;1;1;3761530.0000000000;3;4;18;Activa;9.5563400000;-84.0531500000
ES 1-01-03-03;300436;San José;San José;Hospital;9.5604300000;-84.0508600000;0;1;1;4516385.0000000000;3;2;16;Activa;9.5604300000;-84.0508600000
ES 1-01-03-04;300390;San José;San José;Hospital;9.5580600000;-84.0498800000;0;1;1;432955.0000000000;3;2;18;Activa;9.5580600000;-84.0498800000
ES 1-01-03-05;300660;San José;San José;Hospital;9.5511800000;-84.0505200000;0;1;0;1943113.0000000000;3;6;30;Activa;9.5511800000;-84.0505200000
ES 1-01-03-06;300359;San José;San José;Hospital;9.5592400000;-84.0570600000;0;2;0;6415286.0000000000;3;4;24;Activa;9.5592400000;-84.0570600000
ES 1-01-04-04;300306;San José;San José;Catedral;9.5561900000;-84.0451300000;0;1;0;;3;2;12;Activa;9.5561900000;-84.0451300000
ES 1-01-04-06;300961;San José;San José;Catedral;9.5635300000;-84.0260400000;0;1;1;3620473.0000000000;3;3;36;Activa;9.5635300000;-84.0260400000
ES 1-01-04-07;300317;San José;San José;Catedral;9.5507700000;-84.0427000000;0;1;0;4173375.0000000000;3;3;18;Activa;9.5507700000;-84.0427000000
ES 1-01-04-08;301001;San José;San José;Catedral;9.5573700000;-84.0418100000;0;1;0;7244641.0000000000;3;4;30;Activa;9.5573700000;-84.0418100000
ES 1-01-04-09;300723;San José;San José;Catedral;9.5532600000;-84.0450900000;0;1;0;6058571.0000000000;3;6;30;Activa;9.5532600000;-84.0450900000
ES 1-01-05-02;300564;San José;San José;Zapote;9.5512500000;-84.0379200000;0;1;0;9165691.0000000000;3;4;42;Activa;9.5512500000;-84.0379200000
ES 1-01-06-01;300623;San José;San José;San Francisco de Dos Ríos;9.5470500000;-84.0369600000;0;1;0;6960000.0000000000;3;3;18;Activa;9.5470500000;-84.0369600000
ES 1-01-06-02;300589;San José;San José;San Francisco de Dos Ríos;9.5530500000;-84.0434600000;0;1;0;1609927.0000000000;3;2;8;Activa;9.5530500000;-84.0434600000
ES 1-01-06-03;301152;San José;San José;San Francisco;9.5474100000;-84.0381200000;0;1;0;4035283.0000000000;3;2;24;Activa;9.5474100000;-84.0381200000
ES 1-01-06-04;300951;San José;San José;San Francisco de Dos Ríos;9.5401300000;-84.0588800000;0;1;0;3996153.0000000000;3;5;30;Activa;9.5401300000;-84.0588800000
ES 1-01-06-05;300480;San José;San José;San Francisco de Dos Ríos;9.5465800000;-84.0411200000;0;1;0;3551653.0000000000;3;3;24;Activa;9.5465800000;-84.0411200000
ES 1-01-07-01;300594;San José;San José;Uruca;9.5706200000;-84.0671900000;0;2;0;11294475.0000000000;6;5;26;Activa;9.5706200000;-84.0671900000
ES 1-01-07-02;300593;San José;San José;Uruca;9.5686600000;-84.0545900000;0;1;0;3689259.0000000000;3;2;12;Activa;9.5686600000;-84.0545900000
ES 1-01-07-03;301003;San José;San José;Uruca;9.5707500000;-84.0623200000;0;2;0;5649554.0000000000;3;3;18;Activa;9.5707500000;-84.0623200000
ES 1-01-07-04;301002;San José;San José;Uruca;9.5708100000;-84.0635600000;0;2;0;7775661.0000000000;3;6;32;Activa;9.5708100000;-84.0635600000
ES 1-01-08-01;301121;San José;San José;Mata Redonda;9.5602200000;-84.0670700000;0;1;1;5561175.0000000000;3;2;12;Activa;9.5602200000;-84.0670700000
ES 1-01-09-01;300376;San José;San José;Pavas;9.5647700000;-84.0739800000;0;2;1;14051604.0000000000;8;5;56;Activa;9.5647700000;-84.0739800000
ES 1-01-09-02;300309;San José;San José;Pavas;9.5630100000;-84.0690600000;0;2;0;9253893.0000000000;3;3;18;Activa;9.5630100000;-84.0690600000
ES 1-01-10-01;300517;San José;San José;Hatillo;9.5523700000;-84.0564000000;0;1;0;4219700.0000000000;3;3;14;Activa;9.5523700000;-84.0564000000
ES 1-01-10-02;301011;San José;San José;Hatillo;9.5472000000;-84.0589400000;0;2;0;7849779.0000000000;3;6;36;Activa;9.5472000000;-84.0589400000
ES 1-01-11-01;301004;San José;San José;San Sebastian;9.5446600000;-84.0515800000;0;1;0;7994803.0000000000;3;6;36;Activa;9.5446600000;-84.0515800000
ES 1-01-11-02;300705;San José;San José;San Sebastian;9.5480900000;-84.5076000000;0;1;0;;3;4;24;Activa;9.5480900000;-84.5076000000
ES 1-01-11-03;300935;San José;San José;San Sebastián;9.5451000000;-84.0414000000;0;1;1;;3;10;56;Activa;9.5451000000;-84.0414000000
ES 1-02-03-01;300314;San José;Escazú;San Rafael;9.5579400000;-84.0798400000;0;2;0;6757772.0000000000;3;3;18;Activa;9.5579400000;-84.0798400000
ES 1-02-03-03;300481;San José;Escazú;San Rafael;9.5592800000;-84.0763000000;0;2;0;8360565.0000000000;3;3;18;Activa;9.5592800000;-84.0763000000
ES 1-02-03-04;300675;San José;Escazú;San Rafael;9.5599500000;-84.0904400000;0;2;1;5915069.0000000000;3;5;24;Activa;9.5599500000;-84.0904400000
ES 1-02-03-06;300490;San José;Escazú;San Rafael;9.5637500000;-84.0842800000;0;2;0;11696274.0000000000;3;6;36;Activa;9.5637500000;-84.0842800000
